time stamp, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
1609405360.3,0.147363862472,88.43,1,0,254,0,150,1063
1609405365.54,24.4166790826,135.12,128,0,254,127,150,1063
1609405367.11,81.5730878401,124.69,128,0,254,127,150,1063
1609405368.72,79.5819050975,125.2,128,0,254,127,150,1063
1609405375.34,29.046152106,135.6,192,127,254,191,150,1063
1609405377.77,79.097757199,128.73,192,127,254,191,150,1063
1609405380.08,82.9243988363,128.73,192,127,254,191,150,1063
1609405382.54,78.2749180394,125.34,192,127,254,191,150,1063
1609405385.08,75.7111240602,125.34,192,127,254,191,150,1063
1609405392.8,29.0258759897,136.94,224,191,254,223,150,1063
1609405395.62,79.5576602536,126.14,224,191,254,223,150,1063
1609405398.43,79.6405692472,126.14,224,191,254,223,150,1063
1609405406.55,29.5869223619,143.46,240,223,254,239,150,1063
1609405409.58,79.1080276459,122.58,240,223,254,239,150,1063
1609405417.99,29.5245131079,128.82,248,239,254,247,150,1063
1609405421.39,72.8336856728,127.78,248,239,254,247,150,1063
1609405424.42,82.0152202288,124.01,248,239,254,247,150,1063
1609405433.23,28.6278079958,140.68,252,247,254,251,150,1063
1609405436.54,76.0185629594,126.02,252,247,254,251,150,1063
1609405444.8,30.7722387787,130.64,254,251,254,253,150,1063
1609405453.36,29.5551743945,139.34,253,251,253,252,125,1063
1609405456.56,79.0140309547,125.2,252,251,252,251,125,1063
1609405461.93,23.4706100151,128.45,126,0,251,125,125,1063
1609405465.08,19.983638354,132.46,63,0,125,62,125,1063
1609405466.9,17.6104893219,114.03,32,0,62,31,125,1063
1609405467.34,73.4194090464,115.55,32,0,62,31,125,1063
1609405467.79,71.2468073225,115.88,32,0,62,31,125,1063
1609405468.34,57.295908366,115.88,32,0,62,31,125,1063
1609405468.8,70.828754787,114.74,32,0,62,31,125,1063
1609405469.22,75.0015383902,114.74,32,0,62,31,125,1063
1609405469.77,58.5889727593,114.74,32,0,62,31,125,1063
1609405470.2,74.9176004081,114.74,32,0,62,31,125,1063
1609405470.64,72.5082644182,116.74,32,0,62,31,125,1063
1609405471.05,78.6290866932,116.74,32,0,62,31,125,1063
1609405471.43,84.2256145085,116.74,32,0,62,31,125,1063
1609405471.93,63.4449798582,47.82,32,0,62,31,125,1063
1609405472.37,74.1478695523,47.91,32,0,62,31,125,1063
1609405472.8,74.0750686428,115.89,32,0,62,31,125,1063
1609405473.22,75.9937922065,115.89,32,0,62,31,125,1063
1609405473.62,79.8182430174,115.89,32,0,62,31,125,1063
1609405474.11,66.1814631568,115.89,32,0,62,31,125,1063
1609405474.53,75.2661321346,115.89,32,0,62,31,125,1063
1609405475.02,66.0148981159,113.84,32,0,62,31,125,1063
1609405475.43,77.8429832544,113.84,32,0,62,31,125,1063
1609405475.93,63.3691046071,113.84,32,0,62,31,125,1063
1609405476.3,86.7410533445,113.84,32,0,62,31,125,1063
1609405476.75,71.560194328,114.51,32,0,62,31,125,1063
1609405477.17,76.2036993088,115.4,32,0,62,31,125,1063
1609405477.58,78.5932196244,115.4,32,0,62,31,125,1063
1609405478.08,64.6086077914,47.72,32,0,62,31,125,1063
1609405478.55,68.168786375,114.71,32,0,62,31,125,1063
1609405478.91,88.6735658185,116.18,32,0,62,31,125,1063
1609405479.35,71.6620943177,116.18,32,0,62,31,125,1063
1609405479.87,62.3190238285,116.18,32,0,62,31,125,1063
1609405480.34,68.2437923893,116.18,32,0,62,31,125,1063
1609405480.79,70.9981422314,116.18,32,0,62,31,125,1063
