time stamp, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
1609430184.42,0.228862075905,79.08,1,0,254,0,75,1063
1609430185.66,25.4816434894,46.38,1,0,254,0,75,949
1609430185.69,31.7680509585,46.38,1,0,254,0,75,949
1609430185.71,45.0390223998,46.38,1,0,254,0,75,949
1609430185.74,42.5204679548,46.38,1,0,254,0,75,949
1609430185.76,44.4363644069,46.38,1,0,254,0,75,949
1609430185.78,42.2727675872,46.38,1,0,254,0,75,949
1609430185.8,49.1349179387,46.38,1,0,254,0,75,949
1609430185.89,12.1938075995,46.38,1,0,254,0,75,949
1609430185.92,35.4347411018,46.38,1,0,254,0,75,949
1609430185.98,14.5619881193,46.95,1,0,254,0,75,949
1609430186.01,36.3583911234,46.95,1,0,254,0,75,949
1609430186.03,45.7124920984,46.95,1,0,254,0,75,949
1609430186.06,41.1690616411,46.95,1,0,254,0,75,949
1609430186.08,47.2698831299,46.95,1,0,254,0,75,949
1609430186.1,44.7449700228,46.95,1,0,254,0,75,949
1609430186.12,48.8186600866,46.95,1,0,254,0,75,949
1609430186.21,12.0913037713,46.95,1,0,254,0,75,949
1609430186.23,34.0786987008,46.95,1,0,254,0,75,949
1609430186.26,41.799250578,46.95,1,0,254,0,75,949
1609430186.34,12.2258321212,47.92,1,0,254,0,75,949
1609430186.36,42.1034541604,47.92,1,0,254,0,75,949
1609430186.38,49.546436081,47.92,1,0,254,0,75,949
1609430186.41,49.519527745,47.92,1,0,254,0,75,949
1609430186.43,43.4818631364,47.92,1,0,254,0,75,949
1609430186.45,49.5686867732,47.92,1,0,254,0,75,949
1609430186.47,48.9840001869,47.92,1,0,254,0,75,949
1609430186.54,13.6442282982,47.92,1,0,254,0,75,949
1609430186.57,39.1051772845,47.92,1,0,254,0,75,949
1609430186.59,48.4638511757,47.92,1,0,254,0,75,949
1609430186.66,13.4952734574,48.27,1,0,254,0,75,949
1609430186.68,46.511388587,48.27,1,0,254,0,75,949
1609430186.7,53.2089766197,48.27,1,0,254,0,75,949
1609430186.72,50.022111176,48.27,1,0,254,0,75,949
1609430186.74,51.0983273029,48.27,1,0,254,0,75,949
1609430186.76,51.5809383263,48.27,1,0,254,0,75,949
1609430186.78,46.2151703469,48.27,1,0,254,0,75,949
1609430186.86,13.3793442236,48.27,1,0,254,0,75,949
