timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz]
2020/12/31 05:03:06.220, 0 %, 0 %, 10.10 W, 544 MHz
2020/12/31 05:03:07.224, 0 %, 0 %, 9.71 W, 544 MHz
2020/12/31 05:03:08.228, 0 %, 0 %, 9.71 W, 544 MHz
2020/12/31 05:03:09.232, 2 %, 0 %, 48.58 W, 1303 MHz
2020/12/31 05:03:10.235, 0 %, 0 %, 46.47 W, 1063 MHz
2020/12/31 05:03:11.238, 0 %, 0 %, 46.47 W, 1063 MHz
2020/12/31 05:03:12.241, 0 %, 0 %, 46.57 W, 1063 MHz
2020/12/31 05:03:13.243, 0 %, 0 %, 46.57 W, 1063 MHz
2020/12/31 05:03:14.246, 2 %, 0 %, 46.67 W, 1063 MHz
2020/12/31 05:03:15.249, 0 %, 0 %, 46.66 W, 1063 MHz
2020/12/31 05:03:16.250, 1 %, 0 %, 46.57 W, 1063 MHz
2020/12/31 05:03:17.252, 13 %, 7 %, 86.07 W, 1063 MHz
2020/12/31 05:03:18.255, 0 %, 0 %, 46.85 W, 1063 MHz
2020/12/31 05:03:19.258, 68 %, 44 %, 118.27 W, 1063 MHz
2020/12/31 05:03:20.266, 73 %, 31 %, 113.85 W, 1063 MHz
2020/12/31 05:03:21.269, 0 %, 0 %, 46.76 W, 1063 MHz
2020/12/31 05:03:22.271, 0 %, 0 %, 46.95 W, 1063 MHz
2020/12/31 05:03:23.274, 100 %, 78 %, 120.28 W, 1063 MHz
2020/12/31 05:03:24.277, 10 %, 4 %, 119.12 W, 1063 MHz
2020/12/31 05:03:25.280, 0 %, 0 %, 46.76 W, 1063 MHz
2020/12/31 05:03:26.282, 67 %, 50 %, 47.14 W, 1063 MHz
2020/12/31 05:03:27.285, 6 %, 0 %, 114.54 W, 1063 MHz
2020/12/31 05:03:28.289, 50 %, 36 %, 105.32 W, 1063 MHz
2020/12/31 05:03:29.292, 100 %, 76 %, 120.18 W, 1063 MHz
2020/12/31 05:03:30.293, 3 %, 1 %, 47.05 W, 1063 MHz
2020/12/31 05:03:31.296, 0 %, 0 %, 46.76 W, 1063 MHz
2020/12/31 05:03:32.299, 87 %, 64 %, 47.98 W, 1063 MHz
2020/12/31 05:03:33.302, 0 %, 0 %, 46.76 W, 1063 MHz
2020/12/31 05:03:34.304, 100 %, 74 %, 66.08 W, 1063 MHz
2020/12/31 05:03:35.307, 0 %, 0 %, 46.66 W, 1063 MHz
2020/12/31 05:03:36.310, 71 %, 56 %, 107.42 W, 1063 MHz
2020/12/31 05:03:37.313, 93 %, 70 %, 117.99 W, 1063 MHz
2020/12/31 05:03:38.316, 100 %, 76 %, 122.04 W, 1063 MHz
2020/12/31 05:03:39.318, 56 %, 37 %, 47.33 W, 1063 MHz
2020/12/31 05:03:40.321, 0 %, 0 %, 46.76 W, 1063 MHz
2020/12/31 05:03:41.324, 100 %, 77 %, 119.80 W, 1063 MHz
2020/12/31 05:03:42.326, 0 %, 0 %, 46.85 W, 1063 MHz
2020/12/31 05:03:43.329, 76 %, 60 %, 115.11 W, 1063 MHz
2020/12/31 05:03:44.330, 24 %, 17 %, 47.14 W, 1063 MHz
2020/12/31 05:03:45.331, 0 %, 0 %, 46.95 W, 1063 MHz
2020/12/31 05:03:46.334, 68 %, 47 %, 120.66 W, 1063 MHz
2020/12/31 05:03:47.336, 98 %, 75 %, 117.41 W, 1063 MHz
2020/12/31 05:03:48.339, 100 %, 79 %, 123.38 W, 1063 MHz
2020/12/31 05:03:49.341, 94 %, 58 %, 48.39 W, 1063 MHz
2020/12/31 05:03:50.344, 0 %, 0 %, 46.95 W, 1063 MHz
2020/12/31 05:03:51.349, 84 %, 71 %, 124.22 W, 1063 MHz
2020/12/31 05:03:52.352, 71 %, 58 %, 115.89 W, 1063 MHz
2020/12/31 05:03:53.354, 100 %, 75 %, 123.25 W, 1063 MHz
2020/12/31 05:03:54.361, 72 %, 49 %, 112.91 W, 1063 MHz
2020/12/31 05:03:55.364, 0 %, 0 %, 46.95 W, 1063 MHz
2020/12/31 05:03:56.367, 100 %, 85 %, 127.39 W, 1063 MHz
2020/12/31 05:03:57.370, 58 %, 41 %, 47.14 W, 1063 MHz
2020/12/31 05:03:58.373, 0 %, 0 %, 46.95 W, 1063 MHz
2020/12/31 05:03:59.376, 100 %, 78 %, 122.86 W, 1063 MHz
2020/12/31 05:04:00.379, 0 %, 0 %, 46.95 W, 1063 MHz
2020/12/31 05:04:01.382, 0 %, 0 %, 46.95 W, 1063 MHz
2020/12/31 05:04:02.385, 58 %, 51 %, 113.58 W, 1063 MHz
2020/12/31 05:04:03.388, 68 %, 48 %, 126.22 W, 1063 MHz
2020/12/31 05:04:04.390, 100 %, 75 %, 124.21 W, 1063 MHz
2020/12/31 05:04:05.393, 28 %, 16 %, 47.24 W, 1063 MHz
2020/12/31 05:04:06.396, 0 %, 0 %, 47.05 W, 1063 MHz
2020/12/31 05:04:07.399, 100 %, 81 %, 121.81 W, 1063 MHz
2020/12/31 05:04:08.401, 0 %, 0 %, 47.14 W, 1063 MHz
2020/12/31 05:04:09.404, 0 %, 0 %, 47.05 W, 1063 MHz
2020/12/31 05:04:10.407, 100 %, 75 %, 122.00 W, 1063 MHz
2020/12/31 05:04:11.409, 0 %, 0 %, 47.05 W, 1063 MHz
2020/12/31 05:04:12.412, 0 %, 0 %, 47.05 W, 1063 MHz
2020/12/31 05:04:13.415, 100 %, 75 %, 121.90 W, 1063 MHz
2020/12/31 05:04:14.418, 0 %, 0 %, 47.05 W, 1063 MHz
2020/12/31 05:04:15.418, 0 %, 0 %, 47.05 W, 1063 MHz
2020/12/31 05:04:16.421, 100 %, 75 %, 124.11 W, 1063 MHz
2020/12/31 05:04:17.424, 0 %, 0 %, 47.15 W, 1063 MHz
2020/12/31 05:04:18.427, 0 %, 0 %, 116.06 W, 1063 MHz
2020/12/31 05:04:19.430, 100 %, 75 %, 122.57 W, 1063 MHz
2020/12/31 05:04:20.431, 0 %, 0 %, 47.14 W, 1063 MHz
2020/12/31 05:04:21.433, 100 %, 86 %, 114.63 W, 1063 MHz
2020/12/31 05:04:22.436, 11 %, 8 %, 47.24 W, 1063 MHz
2020/12/31 05:04:23.439, 0 %, 0 %, 47.15 W, 1063 MHz
2020/12/31 05:04:24.443, 100 %, 76 %, 127.20 W, 1063 MHz
2020/12/31 05:04:25.446, 0 %, 0 %, 47.14 W, 1063 MHz
2020/12/31 05:04:26.449, 37 %, 23 %, 117.03 W, 1063 MHz
2020/12/31 05:04:27.451, 100 %, 76 %, 125.83 W, 1063 MHz
2020/12/31 05:04:28.454, 0 %, 0 %, 47.24 W, 1063 MHz
