time stamp, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
1608673133.41,0.155774478228,95.99,1,0,254,0,84,1063
1608673133.81,12.1008271473,46.95,1,0,254,0,84,949
1608673133.88,15.5547957144,46.95,1,0,254,0,84,949
1608673134.01,7.70114241858,46.95,1,0,254,0,84,949
1608673134.13,8.09264382985,50.51,1,0,254,0,84,949
1608673134.2,15.5240523945,50.51,1,0,254,0,84,949
1608673134.3,9.74657941701,50.51,1,0,254,0,84,949
1608673134.43,7.82906474283,63.59,1,0,254,0,84,949
1608673134.49,14.7944621788,63.59,1,0,254,0,84,949
1608673134.56,16.3097777691,63.59,1,0,254,0,84,949
1608673134.67,8.90544436942,63.59,1,0,254,0,84,949
1608673134.77,10.1372661335,63.91,1,0,254,0,84,949
1608673134.83,15.0420817823,63.91,1,0,254,0,84,949
1608673134.89,17.2022491726,63.91,1,0,254,0,84,949
1608673134.97,12.5920664323,63.91,1,0,254,0,84,949
1608673135.04,15.4495439879,63.91,1,0,254,0,84,949
1608673135.15,8.40873852002,63.91,1,0,254,0,84,949
1608673135.21,17.3940075062,63.91,1,0,254,0,84,949
1608673135.27,18.1584178991,63.91,1,0,254,0,84,949
1608673135.39,8.47364954685,63.91,1,0,254,0,84,949
1608673135.5,8.4282883817,63.91,1,0,254,0,84,949
1608673135.57,16.1618378616,63.91,1,0,254,0,84,949
1608673135.68,8.86760029768,63.91,1,0,254,0,84,949
1608673135.81,7.85644391498,63.91,1,0,254,0,84,949
1608673135.87,15.8919095053,63.91,1,0,254,0,84,949
1608673135.93,16.8990241662,63.91,1,0,254,0,84,949
1608673136.06,7.9205958334,63.91,1,0,254,0,84,949
1608673136.17,8.54714035939,63.91,1,0,254,0,84,949
1608673136.24,14.250102774,63.91,1,0,254,0,84,949
1608673136.3,16.5505398068,63.91,1,0,254,0,84,949
1608673136.42,8.39285478452,63.91,1,0,254,0,84,949
1608673142.44,21.2757364364,117.12,128,0,254,127,84,949
1608673145.92,18.4195781115,111.48,64,0,127,63,84,949
1608673147.93,15.8863812159,97.71,32,0,63,31,84,949
1608673148.57,50.3244327345,97.71,32,0,63,31,84,949
1608673149.26,46.1396264696,97.71,32,0,63,31,84,949
1608673150.68,11.3073560221,99.15,16,0,31,15,84,949
1608673151.04,43.9641546207,99.15,16,0,31,15,84,949
1608673151.37,48.6551379129,99.15,16,0,31,15,84,949
1608673151.74,43.847616011,99.15,16,0,31,15,84,949
1608673152.1,43.8205020213,99.15,16,0,31,15,84,949
1608673152.45,46.5327384956,99.15,16,0,31,15,84,949
1608673153.49,7.66019437202,93.59,8,0,15,7,84,949
1608673153.71,36.3816500233,93.59,8,0,15,7,84,949
1608673153.94,34.8617113125,93.59,8,0,15,7,84,949
1608673154.1,51.762838728,93.59,8,0,15,7,84,949
1608673154.37,29.6833912621,93.59,8,0,15,7,84,949
