time stamp, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
1608675071.75,0.0620411979905,92.07,1,0,254,0,83,1063
1608675072.16,6.42183203395,47.91,1,0,254,0,83,949
1608675072.32,6.18291492843,51.15,1,0,254,0,83,949
1608675072.42,10.3782927783,51.15,1,0,254,0,83,949
1608675072.64,4.57891950136,71.55,1,0,254,0,83,949
1608675072.73,10.7501326369,71.55,1,0,254,0,83,949
1608675072.81,12.0073974407,71.55,1,0,254,0,83,949
1608675073.03,4.67757724859,71.55,1,0,254,0,83,949
1608675073.12,10.9119252403,71.55,1,0,254,0,83,949
1608675073.25,7.64396363822,71.55,1,0,254,0,83,949
1608675073.39,6.96363862763,71.55,1,0,254,0,83,949
1608675073.49,10.9229795645,71.55,1,0,254,0,83,949
1608675073.57,11.7799659602,71.55,1,0,254,0,83,949
1608675073.78,4.68217753477,71.55,1,0,254,0,83,949
1608675073.88,10.8990520539,71.55,1,0,254,0,83,949
1608675074.01,7.55697771628,71.55,1,0,254,0,83,949
1608675074.15,7.19791457515,71.55,1,0,254,0,83,949
1608675074.24,10.9656153267,71.55,1,0,254,0,83,949
1608675074.38,7.29368065941,71.55,1,0,254,0,83,949
1608675074.52,6.90621629676,71.55,1,0,254,0,83,949
1608675074.61,11.4818695969,71.55,1,0,254,0,83,949
1608675074.69,11.8903356211,71.55,1,0,254,0,83,949
1608675074.89,5.03819089924,71.55,1,0,254,0,83,949
1608675076.04,10.4473399075,46.76,1,0,254,0,83,949
1608675076.14,10.2731570156,46.76,1,0,254,0,83,949
1608675076.27,7.44546159759,46.76,1,0,254,0,83,949
1608675076.41,7.24165948711,70.88,1,0,254,0,83,949
1608675076.51,10.3964029169,70.88,1,0,254,0,83,949
1608675076.66,6.72649186112,70.88,1,0,254,0,83,949
1608675076.8,6.98573308239,70.88,1,0,254,0,83,949
1608675076.89,10.8185103315,70.88,1,0,254,0,83,949
1608675077.03,7.55029837178,70.88,1,0,254,0,83,949
1608675077.17,7.0988469018,70.88,1,0,254,0,83,949
1608675077.26,10.7175538969,70.88,1,0,254,0,83,949
1608675077.37,8.81537808379,70.88,1,0,254,0,83,949
1608675077.51,7.67429954678,70.88,1,0,254,0,83,949
1608675077.6,10.9655293216,70.88,1,0,254,0,83,949
1608675077.68,12.4398044892,70.88,1,0,254,0,83,949
1608675077.89,4.63016965019,70.88,1,0,254,0,83,949
1608675078.98,11.3485321573,46.76,1,0,254,0,83,949
1608675079.14,6.33472534144,46.76,1,0,254,0,83,949
1608675079.22,12.4967345188,46.76,1,0,254,0,83,949
1608675079.44,4.58896408964,70.59,1,0,254,0,83,949
1608675079.53,10.8492926743,70.59,1,0,254,0,83,949
1608675079.67,7.48631267815,70.59,1,0,254,0,83,949
1608675079.8,7.2831054272,70.59,1,0,254,0,83,949
1608675079.9,10.8432903925,70.59,1,0,254,0,83,949
1608675080.02,7.7420393276,70.59,1,0,254,0,83,949
1608675080.17,7.03457829971,70.59,1,0,254,0,83,949
1608675080.26,11.3242652181,70.59,1,0,254,0,83,949
1608675080.34,12.5278645631,70.59,1,0,254,0,83,949
1608675080.57,4.35125372174,71.26,1,0,254,0,83,949
1608675080.65,11.7413506893,71.26,1,0,254,0,83,949
1608675080.76,9.27789415473,71.26,1,0,254,0,83,949
1608675080.9,7.20393525516,72.55,1,0,254,0,83,949
1608675082.04,11.5400281189,46.67,1,0,254,0,83,949
1608675082.16,8.80344388264,46.67,1,0,254,0,83,949
1608675082.29,7.34300775389,46.67,1,0,254,0,83,949
1608675082.44,6.93779101792,69.82,1,0,254,0,83,949
1608675082.53,11.0702702703,69.82,1,0,254,0,83,949
1608675082.67,7.31685038876,69.82,1,0,254,0,83,949
1608675082.81,7.03279722062,71.84,1,0,254,0,83,949
1608675082.89,11.9077204358,71.84,1,0,254,0,83,949
1608675082.97,13.4976620551,71.84,1,0,254,0,83,949
1608675083.17,4.91729369145,72.41,1,0,254,0,83,949
1608675083.26,10.8026280884,72.41,1,0,254,0,83,949
1608675083.4,7.26021142059,72.41,1,0,254,0,83,949
1608675083.53,7.58696886927,72.41,1,0,254,0,83,949
1608675083.62,11.0527669442,72.41,1,0,254,0,83,949
1608675083.77,6.95414806255,72.41,1,0,254,0,83,949
1608675083.91,7.04408870139,72.41,1,0,254,0,83,949
1608675085.04,11.0213421203,46.76,1,0,254,0,83,949
1608675085.14,10.1465113916,46.76,1,0,254,0,83,949
1608675085.28,7.0257760625,46.76,1,0,254,0,83,949
1608675085.43,6.79333025599,70.21,1,0,254,0,83,949
1608675085.52,10.8131553099,70.21,1,0,254,0,83,949
1608675085.6,12.4449350056,70.21,1,0,254,0,83,949
1608675085.82,4.63219973781,70.21,1,0,254,0,83,949
1608675085.91,10.8840057712,70.21,1,0,254,0,83,949
1608675086.05,7.20456634025,70.21,1,0,254,0,83,949
1608675086.21,6.46420210495,70.21,1,0,254,0,83,949
1608675086.29,11.2281363019,70.21,1,0,254,0,83,949
1608675086.43,7.61980059878,70.21,1,0,254,0,83,949
1608675086.57,6.99545011808,70.59,1,0,254,0,83,949
1608675086.66,11.1701851709,70.59,1,0,254,0,83,949
1608675086.74,12.4961015823,70.59,1,0,254,0,83,949
1608675086.95,4.67224161113,70.59,1,0,254,0,83,949
1608675088.05,10.5523187505,46.67,1,0,254,0,83,949
1608675088.22,5.95805514992,46.67,1,0,254,0,83,949
1608675088.37,6.54998727264,46.67,1,0,254,0,83,949
1608675088.51,7.06768579555,71.07,1,0,254,0,83,949
1608675088.61,10.6015286933,71.07,1,0,254,0,83,949
1608675088.69,11.8697422749,71.07,1,0,254,0,83,949
1608675088.9,4.77103642514,71.07,1,0,254,0,83,949
1608675089.0,10.2944126057,71.07,1,0,254,0,83,949
1608675089.13,7.46468856672,71.07,1,0,254,0,83,949
1608675089.28,6.84640132935,71.07,1,0,254,0,83,949
1608675089.37,10.9730742264,71.07,1,0,254,0,83,949
1608675089.51,7.0249876477,71.07,1,0,254,0,83,949
1608675089.65,7.45912627489,71.07,1,0,254,0,83,949
1608675089.74,10.2269416736,71.07,1,0,254,0,83,949
1608675089.89,6.76256320297,71.07,1,0,254,0,83,949
1608675090.04,6.90331776332,71.07,1,0,254,0,83,949
1608675091.16,11.3463831629,46.76,1,0,254,0,83,949
1608675091.25,11.1871674299,46.76,1,0,254,0,83,949
1608675091.33,11.7461843071,46.76,1,0,254,0,83,949
1608675091.55,4.52269703145,70.01,1,0,254,0,83,949
1608675091.64,10.8358668582,70.01,1,0,254,0,83,949
1608675091.78,7.65110289021,70.01,1,0,254,0,83,949
1608675091.92,6.90842308636,71.26,1,0,254,0,83,949
1608675092.02,10.4488754696,71.26,1,0,254,0,83,949
1608675092.17,6.67811555137,71.26,1,0,254,0,83,949
1608675092.31,6.91294344126,71.45,1,0,254,0,83,949
1608675092.4,10.866494812,71.45,1,0,254,0,83,949
1608675092.48,13.1587659139,71.45,1,0,254,0,83,949
1608675092.64,6.34505585937,71.45,1,0,254,0,83,949
1608675092.79,6.49751829521,71.45,1,0,254,0,83,949
1608675093.15,2.82641516046,71.45,1,0,254,0,83,949
1608675094.26,10.0185212168,46.76,1,0,254,0,83,949
1608675094.36,9.99300492705,46.76,1,0,254,0,83,949
1608675094.51,6.75835710027,46.76,1,0,254,0,83,949
1608675094.66,6.7828387535,72.07,1,0,254,0,83,949
1608675094.75,10.7568597581,72.07,1,0,254,0,83,949
1608675094.89,7.0807986508,72.07,1,0,254,0,83,949
