time stamp, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
1608677705.99,0.155578484677,56.72,1,0,254,0,246,1063
1608677708.34,54.5834274963,110.38,128,0,254,127,246,1063
1608677709.84,85.5471380868,110.38,128,0,254,127,246,1063
1608677712.79,65.1430424092,102.78,192,127,254,191,246,1063
1608677715.19,80.0944106021,105.12,192,127,254,191,246,1063
1608677718.65,64.7723227483,109.44,224,191,254,223,246,1063
1608677722.54,61.7612307765,115.84,240,223,254,239,246,1063
1608677726.48,62.9100903395,105.41,248,239,254,247,246,1063
1608677730.55,61.9352240167,114.16,252,247,254,251,246,1063
1608677734.73,60.8327136545,114.93,254,251,254,253,246,1063
1608677738.7,64.3309225697,113.0,255,253,254,254,246,1063
1608677742.25,76.8969107365,115.5,255,253,254,254,246,1189
1608677745.77,81.3141361937,70.88,255,253,254,254,246,1303
1608677749.16,81.6719751728,134.57,255,253,254,254,246,1430
1608677752.61,79.855947615,56.53,255,253,254,254,246,1531
1608677755.87,78.2774543502,160.97,255,253,254,254,246,1531
1608677759.1,79.0346247906,152.43,255,253,254,254,246,1531
1608677762.37,77.9321493613,149.76,255,253,254,254,246,1531
1608677765.55,80.4296610509,152.56,255,253,254,254,246,1531
1608677768.63,82.8201746092,160.41,255,253,254,254,246,1531
1608677771.44,90.7871032188,147.37,255,253,254,254,246,1531
1608677774.61,80.3218921089,162.65,255,253,254,254,246,1531
1608677777.81,79.8179976774,147.85,255,253,254,254,246,1531
1608677781.33,72.4846337032,168.1,255,253,254,254,246,1531
1608677784.38,83.6167814981,154.07,255,253,254,254,246,1531
1608677787.42,84.1023186046,152.93,255,253,254,254,246,1531
1608677790.59,80.4355767106,157.53,255,253,254,254,246,1531
1608677793.56,85.9722316001,159.04,255,253,254,254,246,1531
1608677796.72,80.5604195132,159.04,255,253,254,254,246,1531
1608677799.99,78.1978803211,150.35,255,253,254,254,246,1531
1608677803.29,77.1850384154,62.06,255,253,254,254,246,1531
1608677806.95,69.6937624671,159.42,255,253,254,254,246,1531
1608677809.98,84.349938505,115.11,255,253,254,254,246,1531
1608677813.06,82.6527710052,150.24,255,253,254,254,246,1531
1608677816.17,82.2218327205,153.99,255,253,254,254,246,1531
1608677819.1,86.8201587533,152.18,255,253,254,254,246,1531
1608677822.04,86.9046640908,156.17,255,253,254,254,246,1531
1608677825.26,79.1652834021,104.26,255,253,254,254,246,1531
1608677828.46,79.7728361507,154.45,255,253,254,254,246,1531
1608677831.44,85.6711166676,161.9,255,253,254,254,246,1531
1608677834.7,78.2993736328,162.78,255,253,254,254,246,1531
1608677837.84,81.2240586288,164.02,255,253,254,254,246,1531
1608677840.79,86.353912264,148.62,255,253,254,254,246,1531
1608677844.12,76.6751463197,151.41,255,253,254,254,246,1531
1608677847.34,79.1380338324,148.42,255,253,254,254,246,1531
1608677850.65,77.1519269993,158.29,255,253,254,254,246,1531
1608677854.01,75.9093525749,154.57,255,253,254,254,246,1531
1608677857.0,85.2979177546,148.04,255,253,254,254,246,1531
1608677860.25,78.3250849711,155.14,255,253,254,254,246,1531
1608677863.28,84.2585556842,151.04,255,253,254,254,246,1531
1608677866.28,84.9398875476,86.98,255,253,254,254,246,1531
1608677869.24,86.2452077373,161.9,255,253,254,254,246,1531
1608677872.09,89.5088654613,161.9,255,253,254,254,246,1531
1608677875.24,80.9481693622,163.25,255,253,254,254,246,1531
1608677878.32,82.8459507132,165.82,255,253,254,254,246,1531
1608677881.29,85.9594488745,159.62,255,253,254,254,246,1531
1608677884.53,78.6644220415,159.62,255,253,254,254,246,1531
1608677887.71,80.2111029433,161.36,255,253,254,254,246,1531
1608677890.88,80.5510819913,151.31,255,253,254,254,246,1531
1608677894.05,80.3000136493,163.15,255,253,254,254,246,1531
1608677897.46,74.7994906727,151.1,255,253,254,254,246,1531
1608677899.56,64.7645547442,154.73,136,253,254,254,246,1531

 ,min, 0.155578484677, 56.53,1.0,0.0,254.0,0.0,246.0, 1063.0
 ,max, 90.7871032188, 168.1,255.0,253.0,254.0,254.0,246.0, 1531.0
 ,average, 77.15169242900608, 139.08951612903226,241.93548387096774,234.8548387096774,254.0,242.8548387096774,246.0, 1437.1451612903227
 ,std, 12.508419239048928, 28.91329376286074,42.03219617255859,57.96908151826074,0.0,39.809160387785596,0.0, 181.49343245686327
 ,Number of power cap violation, 0
 ,Violation Amount Precentage, 0.0
