time stamp, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
1608677910.63,0.184950299422,74.48,1,0,254,0,143,1063
1608677914.09,37.0599845829,123.25,128,0,254,127,143,1063
1608677915.71,79.1520339519,47.81,128,0,254,127,143,1063
1608677917.4,75.5927945139,116.07,128,0,254,127,143,1063
1608677918.96,82.3080671642,47.82,128,0,254,127,143,1063
1608677920.62,77.1159613121,111.19,128,0,254,127,143,1063
1608677924.89,44.9533228772,132.35,192,127,254,191,143,1063
1608677927.36,77.9763801119,118.74,192,127,254,191,143,1063
1608677930.11,69.7966818714,124.4,192,127,254,191,143,1063
1608677932.64,76.0627992476,121.23,192,127,254,191,143,1063
1608677935.28,72.5792006942,126.53,192,127,254,191,143,1063
1608677937.95,72.1714959707,115.78,192,127,254,191,143,1063
1608677940.26,82.8367796096,123.15,192,127,254,191,143,1063
1608677942.87,73.7892778879,124.2,192,127,254,191,143,1063
1608677945.34,77.7678709695,124.2,192,127,254,191,143,1063
1608677947.56,86.4300680241,128.45,192,127,254,191,143,1063
1608677949.92,81.5330943483,128.45,192,127,254,191,143,1063
1608677952.27,81.6507048388,118.93,192,127,254,191,143,1063
1608677954.75,77.5991130279,120.56,192,127,254,191,143,1063
1608677957.03,84.347292754,124.58,192,127,254,191,143,1063
1608677959.5,77.6234971109,124.58,192,127,254,191,143,1063
1608677961.99,77.141302533,120.66,192,127,254,191,143,1063
1608677964.28,84.0914646429,120.66,192,127,254,191,143,1063
1608677966.98,71.0016101095,113.38,192,127,254,191,143,1063
1608677969.27,83.8888762959,124.87,192,127,254,191,143,1063
1608677971.56,83.8472657033,126.79,192,127,254,191,143,1063
1608677973.91,81.926425504,126.79,192,127,254,191,143,1063
1608677976.37,78.2323350832,123.43,192,127,254,191,143,1063
1608677978.88,76.4836279983,123.43,192,127,254,191,143,1063
1608677981.46,74.5013057284,119.32,192,127,254,191,143,1063
1608677983.99,75.9648672106,123.92,192,127,254,191,143,1063
1608677986.23,85.6964532824,127.68,192,127,254,191,143,1063
1608677988.7,77.8347372729,127.68,192,127,254,191,143,1063
1608677991.14,78.4540598267,113.78,192,127,254,191,143,1063
1608677993.79,72.5429735123,122.68,192,127,254,191,143,1063
1608677996.07,84.2471844945,124.3,192,127,254,191,143,1063
1608677998.63,75.1037102879,124.3,192,127,254,191,143,1063
1608678000.96,82.5942796555,112.59,192,127,254,191,143,1063
1608678003.49,75.761873837,116.17,192,127,254,191,143,1063
1608678005.89,80.0994853005,119.6,192,127,254,191,143,1063
1608678008.78,66.5074647081,124.81,192,127,254,191,143,1063
1608678011.46,71.6207377082,127.2,192,127,254,191,143,1063
1608678013.96,76.9242803797,127.2,192,127,254,191,143,1063
1608678016.3,81.8548019308,114.53,192,127,254,191,143,1063
1608678018.72,79.5867459517,121.04,192,127,254,191,143,1063
1608678021.26,75.6458015973,124.43,192,127,254,191,143,1063
1608678023.56,83.5062223724,128.64,192,127,254,191,143,1063
1608678025.95,80.1909878709,47.63,192,127,254,191,143,1063
1608678028.37,79.6558877036,119.03,192,127,254,191,143,1063
1608678031.15,69.0872167526,106.94,192,127,254,191,143,1063
1608678033.58,78.8004546182,118.17,192,127,254,191,143,1063
1608678035.92,82.0743987891,117.89,192,127,254,191,143,1063
1608678038.33,79.9122280322,122.99,192,127,254,191,143,1063
1608678040.85,76.1440611931,120.66,192,127,254,191,143,1063
1608678043.24,80.2667918286,120.66,192,127,254,191,143,1063
1608678045.71,77.7199567404,118.74,192,127,254,191,143,1063
1608678048.28,74.7224461187,122.67,192,127,254,191,143,1063
1608678050.84,75.120923675,119.98,192,127,254,191,143,1063
1608678053.33,77.0046184238,119.98,192,127,254,191,143,1063
1608678056.06,70.3531957597,108.37,192,127,254,191,143,1063
1608678058.63,74.9744944429,111.63,192,127,254,191,143,1063
1608678063.99,41.7362814429,127.18,224,191,254,223,143,1063
1608678066.72,82.2843057857,122.0,224,191,254,223,143,1063
1608678069.57,78.4144852503,122.0,224,191,254,223,143,1063
1608678072.47,77.3720319178,124.49,224,191,254,223,143,1063
1608678075.33,78.4158858247,126.41,224,191,254,223,143,1063
1608678078.1,80.8288722446,112.43,224,191,254,223,143,1063
1608678080.85,81.2864170031,122.19,224,191,254,223,143,1063
1608678083.86,74.6388526297,122.76,224,191,254,223,143,1063
1608678086.79,76.3180608253,121.81,224,191,254,223,143,1063
1608678089.69,77.4145996318,122.0,224,191,254,223,143,1063
1608678092.5,79.533340969,123.73,224,191,254,223,143,1063
1608678095.43,76.5916424235,124.78,224,191,254,223,143,1063
1608678098.26,79.0885608381,113.39,224,191,254,223,143,1063
1608678101.11,78.5366933749,122.76,224,191,254,223,143,1063
1608678104.15,73.7052755777,112.05,224,191,254,223,143,1063
1608678109.76,42.8128326435,130.04,240,223,254,239,143,1063
1608678114.46,42.3256747342,123.03,199,223,254,239,143,1063

 ,min, 0.184950299422, 47.63,1.0,0.0,254.0,0.0,143.0, 1063.0
 ,max, 86.4300680241, 132.35,240.0,223.0,254.0,239.0,143.0, 1063.0
 ,average, 74.6272146046285, 118.01307692307695,192.30769230769232,132.0,254.0,191.83333333333334,143.0, 1063.0
 ,std, 12.893259016944683, 15.843060950338295,30.939688101252102,47.32538755987433,0.0,31.39386542502828,0.0, 0.0
 ,Number of power cap violation, 0
 ,Violation Amount Precentage, 0.0
