time stamp, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
1608680148.05,0.230206123281,56.43,1,0,254,0,120,1063
1608680149.19,113.067706775,47.62,128,0,254,127,120,1063
1608680150.04,150.937870618,92.45,128,0,254,127,120,1063
1608680150.73,184.154106475,92.45,128,0,254,127,120,1063
1608680151.59,149.585298889,92.45,128,0,254,127,120,1063
1608680152.94,142.637551337,130.44,192,127,254,191,120,1063
1608680154.01,179.659038264,130.44,192,127,254,191,120,1063
1608680155.26,153.446783845,130.44,192,127,254,191,120,1063
1608680156.54,125.251569357,47.53,160,127,191,159,120,1063
1608680157.52,164.861772696,80.62,160,127,191,159,120,1063
1608680158.61,146.571155374,80.62,160,127,191,159,120,1063
1608680159.99,127.474533759,122.19,176,159,191,175,120,1063
1608680161.08,162.20149704,122.19,176,159,191,175,120,1063
1608680162.14,166.31606287,122.19,176,159,191,175,120,1063
1608680163.51,122.765378447,102.74,168,159,175,167,120,1063
1608680164.55,163.12054464,102.74,168,159,175,167,120,1063
1608680165.57,164.342412117,102.74,168,159,175,167,120,1063
1608680166.85,131.42187162,99.85,168,159,175,167,120,1063
1608680167.93,155.33897628,99.85,168,159,175,167,120,1063
1608680168.99,160.119114431,99.85,168,159,175,167,120,1063
1608680169.93,177.646559411,53.74,168,159,175,167,120,1063
1608680171.0,157.893408521,53.74,168,159,175,167,120,1063
1608680172.12,149.708445857,53.74,168,159,175,167,120,1063
1608680173.6,116.771103995,98.14,172,167,175,171,120,1063
1608680174.66,161.883733319,98.14,172,167,175,171,120,1063
1608680175.84,146.105200482,98.14,172,167,175,171,120,1063
1608680176.97,153.245909008,47.43,172,167,175,171,120,1063
1608680178.02,163.428792788,47.62,172,167,175,171,120,1063
1608680179.12,157.678120121,47.62,172,167,175,171,120,1063
1608680180.48,127.26684033,102.34,174,171,175,173,120,1063
1608680181.56,161.739212993,102.34,174,171,175,173,120,1063
1608680182.5,185.277850174,102.34,174,171,175,173,120,1063
1608680183.43,188.429781974,92.06,174,171,175,173,120,1063
1608680184.45,171.221947674,99.19,174,171,175,173,120,1063
1608680185.49,167.049545907,99.19,174,171,175,173,120,1063
1608680186.71,143.598718685,99.19,174,171,175,173,120,1063
1608680187.69,177.510595293,47.43,174,171,175,173,120,1063
1608680188.63,194.168909994,47.53,174,171,175,173,120,1063
1608680189.71,161.627419897,47.53,174,171,175,173,120,1063
1608680191.09,126.760797374,100.34,175,173,175,174,120,1063
1608680192.28,147.105295066,100.34,175,173,175,174,120,1063
1608680193.33,167.914666779,100.34,175,173,175,174,120,1063
1608680194.28,184.600093557,87.46,175,173,175,174,120,1063
1608680195.29,173.093713566,98.51,175,173,175,174,120,1063
1608680196.34,167.214637732,99.9,175,173,175,174,120,1063
1608680197.48,153.782069131,47.43,175,173,175,174,120,1063
1608680198.67,147.034483643,47.43,175,173,175,174,120,1063
1608680199.66,177.614134733,47.63,175,173,175,174,120,1063
1608680200.78,157.000298178,47.5,176,174,175,175,120,1063
1608680201.87,161.166846675,47.5,176,174,175,175,120,1063
1608680202.98,159.505221858,90.53,176,174,175,175,120,1063
1608680204.55,137.793688564,100.53,216,175,254,215,120,1063
1608680205.96,153.102760741,100.53,216,175,254,215,120,1063
1608680207.2,174.53685288,100.53,216,175,254,215,120,1063
1608680208.5,167.083589961,83.48,216,175,254,215,120,1063
1608680209.7,180.227660222,83.48,216,175,254,215,120,1063
1608680211.09,155.057449168,83.48,216,175,254,215,120,1063
1608680213.08,118.873775121,128.55,236,215,254,235,120,1063
1608680214.5,166.146738014,128.55,236,215,254,235,120,1063
1608680216.28,127.239986244,105.32,226,215,235,225,120,1063
1608680217.64,166.238178816,105.32,226,215,235,225,120,1063
1608680219.08,157.007893355,47.44,226,215,235,225,120,1063
1608680220.38,173.474909704,76.34,226,215,235,225,120,1063
1608680222.16,127.642163982,76.34,226,215,235,225,120,1063
1608680223.9,132.735430648,105.61,231,225,235,230,120,1063
1608680225.19,179.060043105,105.61,231,225,235,230,120,1063
1608680226.57,166.992082871,96.89,231,225,235,230,120,1063
1608680227.86,180.460417917,96.89,231,225,235,230,120,1063
1608680229.12,182.464862654,96.89,231,225,235,230,120,1063
