time stamp, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
1608680766.19,0.158206543098,56.43,1,0,254,0,135,1063
1608680767.75,82.2900263652,98.71,128,0,254,127,135,1063
1608680768.85,116.593966929,98.71,128,0,254,127,135,1063
1608680769.84,129.081572241,98.71,128,0,254,127,135,1063
1608680771.86,95.1669636992,110.53,192,127,254,191,135,1063
1608680773.27,136.708998871,110.53,192,127,254,191,135,1063
1608680774.73,131.831554885,47.62,192,127,254,191,135,1063
1608680776.23,127.88864676,105.89,192,127,254,191,135,1063
1608680777.86,118.091644727,106.27,192,127,254,191,135,1063
1608680780.55,83.2877836931,117.33,224,191,254,223,135,1063
1608680782.28,129.893175937,117.33,224,191,254,223,135,1063
1608680784.03,128.170357569,106.56,224,191,254,223,135,1063
1608680785.75,130.266647533,107.23,224,191,254,223,135,1063
1608680788.29,94.7914848657,103.88,240,223,254,239,135,1063
1608680790.24,122.973761489,105.69,240,223,254,239,135,1063
1608680793.02,89.4406625121,107.42,248,239,254,247,135,1063
1608680795.03,123.534217861,107.42,248,239,254,247,135,1063
1608680797.78,91.6727964314,107.8,252,247,254,251,135,1063
1608680799.89,119.720427923,107.8,252,247,254,251,135,1063
1608680802.52,96.5500830463,104.22,254,251,254,253,135,1063
1608680804.81,111.078070335,105.8,254,251,254,253,135,1063
1608680807.56,92.9343021474,104.17,255,253,254,254,135,1063
1608680809.42,137.490020686,107.7,255,253,254,254,135,1063
1608680811.82,117.546670934,122.1,255,253,254,254,135,1189
1608680813.71,135.459304425,122.1,255,253,254,254,135,1189
1608680815.74,125.558666632,115.49,255,253,254,254,135,1189
1608680817.78,125.467861126,116.35,255,253,254,254,135,1189
1608680819.85,123.259549915,115.12,255,253,254,254,135,1189
1608680821.76,133.805251013,115.12,255,253,254,254,135,1189
1608680823.72,130.057124096,116.36,255,253,254,254,135,1189
1608680825.74,126.590315011,116.36,255,253,254,254,135,1189
1608680827.73,127.901225178,116.45,255,253,254,254,135,1189
1608680829.67,131.974049095,118.75,255,253,254,254,135,1189
1608680831.69,126.204079745,113.11,255,253,254,254,135,1189
1608680833.86,117.875310105,118.08,255,253,254,254,135,1189
1608680835.87,126.996456487,121.24,255,253,254,254,135,1189
1608680837.77,134.384242197,121.24,255,253,254,254,135,1189
1608680839.85,122.325753591,115.5,255,253,254,254,135,1189
1608680841.93,122.963916092,115.5,255,253,254,254,135,1189
1608680843.91,128.99804033,112.21,255,253,254,254,135,1189
1608680845.82,133.603341247,117.41,255,253,254,254,135,1189
1608680847.71,135.045311087,114.92,255,253,254,254,135,1189
1608680849.77,124.028330778,115.5,255,253,254,254,135,1189
1608680851.75,129.064197626,118.26,255,253,254,254,135,1189
1608680853.77,125.886376086,118.26,255,253,254,254,135,1189
1608680855.78,127.044487352,117.98,255,253,254,254,135,1189
1608680857.81,126.168424,119.9,255,253,254,254,135,1189
1608680859.67,136.643487493,112.15,255,253,254,254,135,1189
1608680862.05,107.42139052,120.37,255,253,254,254,135,1189
1608680864.12,123.037783518,117.89,255,253,254,254,135,1189
1608680865.95,140.018880435,117.89,255,253,254,254,135,1189
1608680867.96,126.637349361,115.1,255,253,254,254,135,1189
1608680869.71,145.816694677,115.1,255,253,254,254,135,1189
1608680871.61,134.491123666,116.17,255,253,254,254,135,1189
1608680873.79,116.896073352,116.35,255,253,254,254,135,1189
1608680875.85,124.219007834,111.43,255,253,254,254,135,1189
1608680877.94,121.683879895,114.45,255,253,254,254,135,1189
1608680880.03,122.223134903,116.16,255,253,254,254,135,1189
1608680882.03,127.500638369,116.84,255,253,254,254,135,1189
1608680884.1,123.494279045,115.87,255,253,254,254,135,1189
1608680886.0,134.264938712,116.55,255,253,254,254,135,1189
1608680887.98,128.96529812,116.54,255,253,254,254,135,1189
1608680890.03,124.546264174,116.54,255,253,254,254,135,1189
1608680892.14,120.6434664,115.21,255,253,254,254,135,1189
1608680894.18,124.842905112,116.93,255,253,254,254,135,1189
1608680896.21,125.936432657,119.42,255,253,254,254,135,1189
1608680898.11,133.980090403,119.42,255,253,254,254,135,1189
1608680900.12,127.42213656,117.22,255,253,254,254,135,1189
1608680902.19,122.771333829,117.22,255,253,254,254,135,1189
1608680904.18,128.524088694,118.17,255,253,254,254,135,1189
1608680906.32,119.052351989,118.17,255,253,254,254,135,1189
1608680908.4,122.704824202,118.27,255,253,254,254,135,1189
1608680911.2,90.9382755077,118.27,255,253,254,254,135,1189
1608680913.09,135.053905517,87.65,255,253,254,254,135,1189
1608680914.97,135.957506364,114.73,255,253,254,254,135,1189
1608680916.96,128.004335318,114.72,255,253,254,254,135,1189
1608680919.11,118.993291391,114.82,255,253,254,254,135,1189
1608680921.19,122.497084023,114.25,255,253,254,254,135,1189
1608680923.35,117.984861764,114.35,255,253,254,254,135,1189
1608680925.27,132.524671788,116.46,255,253,254,254,135,1189
1608680927.39,120.398699549,117.89,255,253,254,254,135,1189
1608680929.35,130.258681395,117.75,255,253,254,254,135,1189
1608680931.45,102.761036973,119.52,216,253,254,254,135,1189

 ,min, 0.158206543098, 47.62,1.0,0.0,254.0,0.0,135.0, 1063.0
 ,max, 145.816694677, 122.1,255.0,253.0,254.0,254.0,135.0, 1189.0
 ,average, 121.0473959121349, 112.32409638554216,240.96385542168676,228.97590361445782,254.0,240.43373493975903,135.0, 1154.0843373493976
 ,std, 18.687084772640905, 11.280046786639767,38.39065077676379,60.63518718853187,0.0,38.320837318581816,0.0, 56.39388260835773
 ,Number of power cap violation, 0
 ,Violation Amount Precentage, 0.0
