time stamp, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
1608680953.83,0.0720301307985,97.84,1,0,254,0,86,1063
1608680954.19,11.6126517232,46.76,1,0,254,0,86,949
1608680954.26,15.3139385442,46.76,1,0,254,0,86,949
1608680954.39,7.58201778409,46.76,1,0,254,0,86,949
1608680954.51,7.96799355616,72.51,1,0,254,0,86,949
1608680954.59,13.885251383,72.51,1,0,254,0,86,949
1608680954.72,7.74281109759,72.51,1,0,254,0,86,949
1608680954.79,13.4788801193,72.51,1,0,254,0,86,949
1608680954.93,7.03061633285,72.51,1,0,254,0,86,949
1608680955.0,13.9680695888,72.51,1,0,254,0,86,949
1608680955.14,7.56647971324,72.51,1,0,254,0,86,949
1608680955.28,7.04309511016,72.51,1,0,254,0,86,949
1608680955.35,13.8995158388,72.51,1,0,254,0,86,949
1608680955.48,7.64147083097,72.51,1,0,254,0,86,949
1608680955.56,12.6484563005,72.51,1,0,254,0,86,949
1608680955.7,7.18871142175,76.54,1,0,254,0,86,949
1608680955.77,14.2043531121,76.54,1,0,254,0,86,949
1608680955.91,7.27335533332,76.54,1,0,254,0,86,949
1608680956.04,7.66899547829,76.54,1,0,254,0,86,949
1608680956.11,13.2425638322,76.54,1,0,254,0,86,949
1608680956.24,8.03554234064,76.54,1,0,254,0,86,949
1608680956.32,12.7253982846,76.54,1,0,254,0,86,949
1608680956.46,6.92501906966,76.54,1,0,254,0,86,949
1608680956.53,15.0849826467,76.54,1,0,254,0,86,949
1608680956.65,8.06679142297,76.54,1,0,254,0,86,949
1608680956.77,8.22523831656,77.3,1,0,254,0,86,949
1608680956.85,13.0891614993,77.3,1,0,254,0,86,949
1608680957.92,14.5095477943,46.66,1,0,254,0,86,949
1608680958.0,12.7093959081,46.66,1,0,254,0,86,949
1608680958.07,14.5424992285,46.66,1,0,254,0,86,949
1608680958.21,7.09602455175,46.66,1,0,254,0,86,949
1608680958.34,7.69070709404,58.63,1,0,254,0,86,949
1608680958.41,14.5015714083,58.63,1,0,254,0,86,949
1608680958.54,7.97646409996,58.63,1,0,254,0,86,949
1608680958.66,8.08707338188,77.68,1,0,254,0,86,949
1608680958.74,12.9240819144,77.68,1,0,254,0,86,949
1608680958.81,13.7419492233,77.68,1,0,254,0,86,949
1608680958.94,7.65926239746,77.68,1,0,254,0,86,949
1608680959.07,7.67854246417,77.68,1,0,254,0,86,949
1608680959.15,12.2186733475,77.68,1,0,254,0,86,949
1608680959.22,14.7065357644,77.68,1,0,254,0,86,949
1608680959.37,6.83060226758,77.68,1,0,254,0,86,949
1608680959.5,7.44325506119,77.68,1,0,254,0,86,949
1608680959.57,13.8090901608,77.68,1,0,254,0,86,949
1608680959.7,7.70748236816,77.68,1,0,254,0,86,949
1608680959.84,7.36875725798,77.68,1,0,254,0,86,949
1608680959.92,13.1119940728,77.68,1,0,254,0,86,949
1608680960.99,13.8594200217,46.57,1,0,254,0,86,949
1608680961.06,13.6595139077,46.57,1,0,254,0,86,949
1608680961.19,8.24660152179,46.57,1,0,254,0,86,949
1608680961.27,12.5385381136,46.57,1,0,254,0,86,949
1608680961.4,7.49208957703,76.3,1,0,254,0,86,949
1608680961.47,13.304607108,76.3,1,0,254,0,86,949
1608680961.61,7.64357359459,76.3,1,0,254,0,86,949
1608680961.74,7.66842060999,76.3,1,0,254,0,86,949
1608680961.81,14.0181614612,76.3,1,0,254,0,86,949
1608680961.94,7.45890077216,76.3,1,0,254,0,86,949
1608680962.02,12.7427571456,76.3,1,0,254,0,86,949
1608680962.17,6.5696957546,76.3,1,0,254,0,86,949
1608680962.24,13.97798477,76.3,1,0,254,0,86,949
1608680962.38,7.25879160436,76.3,1,0,254,0,86,949
