, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
input\01_InceptionV1_BatchSizer.txt,78.05478866,96.416,230.7692308,211.7692308,254,231.4153846,131,1074.276923
input\02_InceptionV2_BatchSizer.txt,74.86716705,102.8862821,192.3076923,161.0128205,228.525641,193.2051282,123,1063
input\03_InceptionV3_BatchSizer.txt,62.19605978,184.9486885,245.9016393,240.7704918,254,245.7868852,228,1449.295082
input\04_InceptionV4_BatchSizer.txt,22.26541512,70.37753148,2.587545282,0.68742453,3.787476281,1.587717785,84,949.0196653
input\05_MobilenetV1_1_BatchSizer.txt,75.79725961,113.2992216,89.82035928,72.07784431,107.3712575,89.07784431,145,1387.39521
input\06_MobilenetV1_05_BatchSizer.txt,88.06753479,76.88387097,120.9677419,102.8548387,139.983871,120.3225806,89,1063
input\07_MobilenetV1_025_BatchSizer.txt,92.03291448,62.83825397,238.0952381,230.015873,254,240.4603175,112,1396.269841
input\08_MobilenetV2_1_BatchSizer.txt,69.48169718,74.33052298,23.77179081,13.1822504,33.14263074,22.79080824,89,1063
input\09_MobilenetV2_14_BatchSizer.txt,74.29544969,124.1803774,141.509434,115.3113208,169.5566038,141.490566,164,1469.783019
input\10_NASNet_A_Large_331_BatchSizer.txt,8.699954217,67.50621411,1.045441873,0,19.79969334,0.045441873,83,949.0079454
input\11_NASNet_A_Mobile_224_BatchSizer.txt,74.23385788,132.4863514,202.7027027,186.4324324,223.8648649,203.5945946,159,1440.391892
input\12_PNASNet_5_Mobile_224_BatchSizer.txt,77.15169243,139.0895161,241.9354839,234.8548387,254,242.8548387,246,1437.145161
input\13_ResNetV2_50_BatchSizer.txt,74.6272146,118.0130769,192.3076923,132,254,191.8333333,143,1063
input\14_ResNetV2_101_BatchSizer.txt,65.30766489,145.6898361,245.9016393,239.7213115,254,245.2622951,167,1239.163934
input\15_ResNetV2_152_BatchSizer.txt,60.73165331,187.872623,245.9016393,240.7704918,254,245.7868852,237,1450.95082
input\16_InceptionV1_BatchSizer.txt,127.5657475,97.40168421,210.5263158,169.0736842,252.6421053,209.7368421,125,1063
input\17_InceptionV2_BatchSizer.txt,113.7231566,144.5334343,202.020202,180.1212121,226.3131313,201.989899,192,1468.131313
input\18_InceptionV3_BatchSizer.txt,45.51301371,67.43434946,4.417936824,2.136293351,7.752374641,3.41815772,80,949.0251822
input\19_InceptionV4_BatchSizer.txt,76.45604605,198.8048148,246.9135802,243.7901235,254,247.8148148,245,1470.716049
input\20_MobilenetV1_1_BatchSizer.txt,116.0839268,81.83328571,40.81632653,27.58163265,53.05510204,39.90408163,98,1063
input\21_MobilenetV1_05_BatchSizer.txt,154.2229749,84.6936,200,184.7,216.43,199.47,120,1063
input\22_MobilenetV1_025_BatchSizer.txt,168.5189633,61.9425,185.1851852,166.1111111,205.3611111,184.7314815,92,1124.240741
input\23_MobilenetV2_1_BatchSizer.txt,128.9309485,130.5690244,243.902439,234.8780488,254,243.3658537,208,1423.317073
input\24_MobilenetV2_14_BatchSizer.txt,120.2104158,122.0763855,240.9638554,232.1445783,254,242.0240964,152,1235.445783
input\25_NASNet_A_Mobile_224_BatchSizer.txt,121.0473959,112.3240964,240.9638554,228.9759036,254,240.4337349,135,1154.084337
input\26_PNASNet_5_Large_331_BatchSizer.txt,10.1298632,72.0673055,1,0,254,0,86,949.0057
input\27_PNASNet_5_Mobile_224_BatchSizer.txt,123.6661065,114.1960241,240.9638554,230.3012048,254,241.0963855,136,1171.433735
input\28_ResNetV2_50_BatchSizer.txt,110.2795154,157.3808511,141.8439716,123.7021277,159.7588652,141.0070922,198,1463.93617
input\29_ResNetV2_101_BatchSizer.txt,100.8057597,188.1709877,246.9135802,240.6666667,254,246.2469136,236,1456.654321
input\30_ResNetV2_152_BatchSizer.txt,34.75935505,71.19299017,3.119638122,1.619404149,5.161285291,2.119950086,88,1063
