timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz]
2020/12/31 04:02:30.796, 0 %, 0 %, 9.91 W, 544 MHz
2020/12/31 04:02:31.801, 0 %, 0 %, 9.81 W, 544 MHz
2020/12/31 04:02:32.802, 0 %, 0 %, 10.00 W, 544 MHz
2020/12/31 04:02:33.803, 0 %, 0 %, 46.66 W, 1063 MHz
2020/12/31 04:02:34.806, 0 %, 0 %, 46.76 W, 1063 MHz
2020/12/31 04:02:35.808, 0 %, 0 %, 46.76 W, 1063 MHz
2020/12/31 04:02:36.811, 1 %, 0 %, 46.76 W, 1063 MHz
2020/12/31 04:02:37.814, 1 %, 0 %, 46.85 W, 1063 MHz
2020/12/31 04:02:38.817, 2 %, 0 %, 46.66 W, 1063 MHz
2020/12/31 04:02:39.820, 61 %, 42 %, 71.64 W, 1063 MHz
2020/12/31 04:02:40.823, 0 %, 0 %, 46.76 W, 1063 MHz
2020/12/31 04:02:41.826, 47 %, 31 %, 102.06 W, 1063 MHz
2020/12/31 04:02:42.828, 71 %, 42 %, 123.15 W, 1063 MHz
2020/12/31 04:02:43.831, 97 %, 72 %, 125.84 W, 1063 MHz
2020/12/31 04:02:44.834, 71 %, 38 %, 115.98 W, 1063 MHz
2020/12/31 04:02:45.836, 7 %, 2 %, 47.05 W, 1063 MHz
2020/12/31 04:02:46.839, 100 %, 66 %, 121.05 W, 1063 MHz
2020/12/31 04:02:47.842, 0 %, 0 %, 46.86 W, 1063 MHz
2020/12/31 04:02:48.845, 100 %, 62 %, 47.24 W, 1063 MHz
2020/12/31 04:02:49.848, 0 %, 0 %, 46.86 W, 1063 MHz
2020/12/31 04:02:50.851, 53 %, 37 %, 125.17 W, 1063 MHz
2020/12/31 04:02:51.853, 71 %, 49 %, 123.43 W, 1063 MHz
2020/12/31 04:02:52.856, 100 %, 69 %, 121.31 W, 1063 MHz
2020/12/31 04:02:53.859, 75 %, 41 %, 49.16 W, 1063 MHz
2020/12/31 04:02:54.862, 89 %, 38 %, 100.40 W, 1063 MHz
2020/12/31 04:02:55.867, 0 %, 0 %, 47.05 W, 1063 MHz
2020/12/31 04:02:56.870, 0 %, 0 %, 133.02 W, 1063 MHz
2020/12/31 04:02:57.874, 100 %, 64 %, 47.43 W, 1063 MHz
2020/12/31 04:02:58.877, 0 %, 0 %, 47.05 W, 1063 MHz
2020/12/31 04:02:59.878, 100 %, 69 %, 127.00 W, 1063 MHz
2020/12/31 04:03:00.881, 0 %, 0 %, 46.95 W, 1063 MHz
2020/12/31 04:03:01.883, 100 %, 62 %, 121.52 W, 1063 MHz
2020/12/31 04:03:02.886, 0 %, 0 %, 47.05 W, 1063 MHz
2020/12/31 04:03:03.889, 0 %, 0 %, 47.14 W, 1063 MHz
2020/12/31 04:03:04.892, 100 %, 71 %, 127.49 W, 1063 MHz
2020/12/31 04:03:05.898, 0 %, 0 %, 47.05 W, 1063 MHz
2020/12/31 04:03:06.901, 0 %, 0 %, 47.05 W, 1063 MHz
2020/12/31 04:03:07.904, 99 %, 47 %, 122.79 W, 1063 MHz
2020/12/31 04:03:08.908, 83 %, 69 %, 103.18 W, 1063 MHz
2020/12/31 04:03:09.912, 100 %, 69 %, 93.12 W, 1063 MHz
2020/12/31 04:03:10.914, 55 %, 35 %, 136.46 W, 1063 MHz
2020/12/31 04:03:11.917, 100 %, 81 %, 134.94 W, 1063 MHz
2020/12/31 04:03:12.920, 58 %, 24 %, 47.53 W, 1063 MHz
2020/12/31 04:03:13.923, 0 %, 0 %, 47.14 W, 1063 MHz
2020/12/31 04:03:14.928, 100 %, 70 %, 113.49 W, 1063 MHz
2020/12/31 04:03:15.932, 0 %, 0 %, 47.24 W, 1063 MHz
2020/12/31 04:03:16.935, 0 %, 0 %, 47.15 W, 1063 MHz
2020/12/31 04:03:17.938, 100 %, 66 %, 119.23 W, 1063 MHz
2020/12/31 04:03:18.941, 0 %, 0 %, 47.24 W, 1063 MHz
2020/12/31 04:03:19.943, 0 %, 0 %, 47.24 W, 1063 MHz
2020/12/31 04:03:20.946, 72 %, 23 %, 97.61 W, 1063 MHz
2020/12/31 04:03:21.949, 99 %, 44 %, 82.05 W, 1063 MHz
2020/12/31 04:03:22.951, 95 %, 76 %, 111.54 W, 1063 MHz
2020/12/31 04:03:23.954, 91 %, 23 %, 110.43 W, 1063 MHz
2020/12/31 04:03:24.957, 64 %, 27 %, 68.29 W, 1063 MHz
2020/12/31 04:03:25.959, 64 %, 26 %, 76.06 W, 1063 MHz
2020/12/31 04:03:26.962, 0 %, 0 %, 47.33 W, 1063 MHz
2020/12/31 04:03:27.965, 0 %, 0 %, 47.24 W, 1063 MHz
2020/12/31 04:03:28.968, 100 %, 72 %, 128.15 W, 1063 MHz
2020/12/31 04:03:29.970, 0 %, 0 %, 47.33 W, 1063 MHz
2020/12/31 04:03:30.971, 0 %, 0 %, 47.24 W, 1063 MHz
2020/12/31 04:03:31.974, 70 %, 46 %, 106.93 W, 1063 MHz
2020/12/31 04:03:32.977, 59 %, 38 %, 74.24 W, 1063 MHz
2020/12/31 04:03:33.977, 71 %, 44 %, 69.83 W, 1063 MHz
2020/12/31 04:03:34.980, 100 %, 71 %, 119.51 W, 1063 MHz
2020/12/31 04:03:35.981, 96 %, 60 %, 121.25 W, 1063 MHz
2020/12/31 04:03:36.984, 100 %, 70 %, 117.80 W, 1063 MHz
2020/12/31 04:03:37.986, 64 %, 29 %, 92.55 W, 1063 MHz
2020/12/31 04:03:38.989, 0 %, 0 %, 47.33 W, 1063 MHz
2020/12/31 04:03:39.992, 0 %, 0 %, 47.33 W, 1063 MHz
2020/12/31 04:03:40.995, 100 %, 70 %, 114.89 W, 1063 MHz
2020/12/31 04:03:41.998, 0 %, 0 %, 47.33 W, 1063 MHz
2020/12/31 04:03:43.001, 0 %, 0 %, 47.33 W, 1063 MHz
2020/12/31 04:03:44.003, 100 %, 70 %, 129.57 W, 1063 MHz
2020/12/31 04:03:45.008, 0 %, 0 %, 47.43 W, 1063 MHz
2020/12/31 04:03:46.008, 0 %, 0 %, 47.33 W, 1063 MHz
2020/12/31 04:03:47.011, 0 %, 0 %, 52.68 W, 1063 MHz
2020/12/31 04:03:48.014, 77 %, 55 %, 123.18 W, 1063 MHz
2020/12/31 04:03:49.017, 89 %, 51 %, 99.15 W, 1063 MHz
2020/12/31 04:03:50.020, 78 %, 52 %, 122.00 W, 1063 MHz
2020/12/31 04:03:51.022, 68 %, 49 %, 131.88 W, 1063 MHz
2020/12/31 04:03:52.025, 98 %, 54 %, 125.29 W, 1063 MHz
