timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz]
2020/12/31 10:56:18.823, 0 %, 0 %, 9.71 W, 544 MHz
2020/12/31 10:56:19.827, 2 %, 0 %, 49.81 W, 1303 MHz
2020/12/31 10:56:20.830, 0 %, 0 %, 46.95 W, 1063 MHz
2020/12/31 10:56:21.833, 1 %, 0 %, 47.05 W, 1063 MHz
2020/12/31 10:56:22.836, 1 %, 0 %, 46.95 W, 1063 MHz
2020/12/31 10:56:23.838, 0 %, 0 %, 47.62 W, 1063 MHz
2020/12/31 10:56:24.841, 1 %, 0 %, 45.90 W, 949 MHz
2020/12/31 10:56:25.844, 3 %, 0 %, 46.19 W, 949 MHz
2020/12/31 10:56:26.847, 7 %, 1 %, 45.90 W, 949 MHz
2020/12/31 10:56:27.850, 0 %, 0 %, 45.99 W, 949 MHz
2020/12/31 10:56:28.853, 80 %, 66 %, 58.83 W, 949 MHz
2020/12/31 10:56:29.855, 0 %, 0 %, 45.99 W, 949 MHz
2020/12/31 10:56:30.858, 0 %, 0 %, 46.09 W, 949 MHz
2020/12/31 10:56:31.864, 70 %, 54 %, 109.28 W, 949 MHz
2020/12/31 10:56:32.868, 0 %, 0 %, 89.38 W, 949 MHz
2020/12/31 10:56:33.870, 17 %, 13 %, 46.09 W, 949 MHz
2020/12/31 10:56:34.873, 65 %, 39 %, 46.09 W, 949 MHz
2020/12/31 10:56:35.876, 10 %, 7 %, 50.70 W, 949 MHz
2020/12/31 10:56:36.878, 19 %, 14 %, 46.09 W, 949 MHz
2020/12/31 10:56:37.881, 71 %, 41 %, 46.09 W, 949 MHz
2020/12/31 10:56:38.884, 10 %, 7 %, 46.28 W, 949 MHz
2020/12/31 10:56:39.887, 10 %, 7 %, 46.38 W, 949 MHz
2020/12/31 10:56:40.889, 0 %, 0 %, 46.09 W, 949 MHz
2020/12/31 10:56:41.892, 10 %, 7 %, 46.28 W, 949 MHz
2020/12/31 10:56:42.895, 20 %, 14 %, 46.09 W, 949 MHz
2020/12/31 10:56:43.898, 10 %, 7 %, 53.35 W, 949 MHz
2020/12/31 10:56:44.899, 0 %, 0 %, 45.99 W, 949 MHz
2020/12/31 10:56:45.901, 10 %, 7 %, 45.99 W, 949 MHz
2020/12/31 10:56:46.902, 20 %, 14 %, 46.19 W, 949 MHz
2020/12/31 10:56:47.903, 0 %, 0 %, 45.99 W, 949 MHz
2020/12/31 10:56:48.906, 10 %, 7 %, 46.47 W, 949 MHz
