time stamp, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
1609426532.46,0.0729517100249,97.85,1,0,254,0,100,1063
1609426532.65,5.1856498716,81.48,1,0,254,0,100,1063
1609426532.73,13.2224418447,81.48,1,0,254,0,100,1063
1609426532.79,15.1659820654,81.48,1,0,254,0,100,1063
1609426532.91,8.36288376952,81.48,1,0,254,0,100,1063
1609426533.03,8.93256550925,81.48,1,0,254,0,100,1063
1609426533.1,14.1946907447,81.48,1,0,254,0,100,1063
1609426533.16,16.194849222,81.48,1,0,254,0,100,1063
1609426533.28,8.11530089641,81.48,1,0,254,0,100,1063
1609426533.41,8.10052106871,81.48,1,0,254,0,100,1063
1609426533.47,14.4502614915,81.48,1,0,254,0,100,1063
1609426533.54,15.1982954793,81.48,1,0,254,0,100,1063
1609426533.67,7.58374512942,81.48,1,0,254,0,100,1063
1609426533.79,8.42822063699,81.48,1,0,254,0,100,1063
1609426533.85,16.0297794441,81.48,1,0,254,0,100,1063
1609426533.96,9.59913581999,81.48,1,0,254,0,100,1063
1609426534.08,8.22706142192,82.53,1,0,254,0,100,1063
1609426534.16,12.1694665436,82.53,1,0,254,0,100,1063
1609426534.23,14.9222597367,82.53,1,0,254,0,100,1063
1609426534.36,7.44839686387,82.53,1,0,254,0,100,1063
1609426534.5,7.32756232082,82.53,1,0,254,0,100,1063
1609426534.57,14.9394273991,82.53,1,0,254,0,100,1063
1609426534.7,7.77943181249,82.53,1,0,254,0,100,1063
1609426534.83,7.54859981283,82.53,1,0,254,0,100,1063
1609426534.9,14.0952316942,82.53,1,0,254,0,100,1063
1609426535.01,9.40593513201,82.53,1,0,254,0,100,1063
1609426535.13,7.90857341109,82.53,1,0,254,0,100,1063
1609426535.2,14.0972214286,82.53,1,0,254,0,100,1063
1609426535.27,14.8940694367,82.53,1,0,254,0,100,1063
1609426535.4,7.54802926854,82.53,1,0,254,0,100,1063
1609426535.53,7.98168569966,82.53,1,0,254,0,100,1063
1609426535.6,14.4372794895,82.53,1,0,254,0,100,1063
1609426535.71,8.91964817367,82.53,1,0,254,0,100,1063
1609426535.84,7.52355019821,82.53,1,0,254,0,100,1063
1609426535.92,13.9561713483,82.53,1,0,254,0,100,1063
1609426535.98,14.9022717744,82.53,1,0,254,0,100,1063
1609426536.11,8.18276242835,82.53,1,0,254,0,100,1063
1609426536.22,9.1348523589,82.53,1,0,254,0,100,1063
1609426536.29,14.4969601449,82.53,1,0,254,0,100,1063
1609426536.35,15.2606715082,82.53,1,0,254,0,100,1063
1609426536.48,7.5261557123,82.53,1,0,254,0,100,1063
1609426536.61,7.63953619683,82.53,1,0,254,0,100,1063
1609426536.68,16.1796060702,82.53,1,0,254,0,100,1063
1609426536.79,8.58060767739,82.53,1,0,254,0,100,1063
1609426536.92,8.01250119396,82.53,1,0,254,0,100,1063
1609426536.99,15.0235473634,82.53,1,0,254,0,100,1063
1609426537.05,15.9678382165,82.53,1,0,254,0,100,1063
1609426537.17,8.1516081448,82.53,1,0,254,0,100,1063
1609426537.29,8.10825690911,82.53,1,0,254,0,100,1063
1609426537.36,15.2550655586,82.53,1,0,254,0,100,1063
1609426537.47,9.08107639979,82.53,1,0,254,0,100,1063
1609426537.54,13.8389336149,82.53,1,0,254,0,100,1063
1609426537.68,7.46786504691,82.53,1,0,254,0,100,1063
1609426537.74,15.7828343073,82.53,1,0,254,0,100,1063
1609426537.83,10.8193475328,82.53,1,0,254,0,100,1063
1609426537.95,8.81297013809,82.53,1,0,254,0,100,1063
1609426538.03,11.3712383287,82.53,1,0,254,0,100,1063
1609426538.1,15.2471908887,82.53,1,0,254,0,100,1063
1609426538.25,6.90112558842,82.53,1,0,254,0,100,1063
1609426538.39,6.99868346184,82.53,1,0,254,0,100,1063
1609426538.46,15.0154260327,82.53,1,0,254,0,100,1063
1609426538.59,7.40653154346,82.53,1,0,254,0,100,1063
1609426538.7,8.80119019391,83.02,1,0,254,0,100,1063
1609426538.78,14.0561669727,83.02,1,0,254,0,100,1063
1609426538.84,14.9355971313,83.02,1,0,254,0,100,1063
1609426538.98,7.48704766801,83.02,1,0,254,0,100,1063
1609426539.11,7.73139319045,83.02,1,0,254,0,100,1063
1609426539.18,14.3120999113,83.02,1,0,254,0,100,1063
1609426539.3,7.83116967985,83.02,1,0,254,0,100,1063
1609426539.38,13.3631034307,83.02,1,0,254,0,100,1063
1609426539.52,7.28820557019,83.02,1,0,254,0,100,1063
1609426539.58,15.2501845233,83.02,1,0,254,0,100,1063
1609426539.72,7.45829065665,83.02,1,0,254,0,100,1063
1609426539.84,8.10477865162,83.02,1,0,254,0,100,1063
1609426539.94,10.45718574,83.02,1,0,254,0,100,1063
1609426540.05,8.44073799787,83.02,1,0,254,0,100,1063
1609426540.17,8.34767102131,83.02,1,0,254,0,100,1063
1609426540.25,13.2675298055,83.02,1,0,254,0,100,1063
1609426540.39,7.16445974938,83.02,1,0,254,0,100,1063
1609426540.54,6.87223549382,83.02,1,0,254,0,100,1063
1609426540.61,12.9458222347,83.02,1,0,254,0,100,1063
1609426540.68,14.695045599,83.02,1,0,254,0,100,1063
1609426540.81,7.86510651065,83.02,1,0,254,0,100,1063
1609426540.94,7.68184731924,83.02,1,0,254,0,100,1063
1609426541.05,9.14828127726,83.02,1,0,254,0,100,1063
1609426541.16,9.34212091312,83.02,1,0,254,0,100,1063
1609426541.29,7.66260666858,83.02,1,0,254,0,100,1063
1609426541.36,13.3906636103,83.02,1,0,254,0,100,1063
1609426541.43,15.0265076471,83.02,1,0,254,0,100,1063
1609426541.55,7.98492226973,83.02,1,0,254,0,100,1063
1609426541.68,7.99845915914,83.02,1,0,254,0,100,1063
1609426541.75,14.0064116264,83.02,1,0,254,0,100,1063
1609426541.82,14.779760877,83.02,1,0,254,0,100,1063
1609426541.95,7.53892582587,83.02,1,0,254,0,100,1063
1609426542.08,8.07011292337,83.02,1,0,254,0,100,1063
1609426542.14,14.8332844113,83.02,1,0,254,0,100,1063
1609426542.27,8.10568709755,83.02,1,0,254,0,100,1063
1609426542.38,8.45622396684,83.02,1,0,254,0,100,1063
1609426542.45,14.8317632748,83.02,1,0,254,0,100,1063
1609426542.58,7.99437346686,83.02,1,0,254,0,100,1063
1609426542.65,13.2446965056,83.02,1,0,254,0,100,1063
1609426542.79,7.46657552195,83.02,1,0,254,0,100,1063
1609426542.85,15.0478021899,83.02,1,0,254,0,100,1063
1609426542.95,10.1129706205,83.02,1,0,254,0,100,1063
1609426543.08,7.71045781432,83.02,1,0,254,0,100,1063
1609426543.16,13.6135827353,83.02,1,0,254,0,100,1063
1609426543.22,15.0636369187,83.02,1,0,254,0,100,1063
1609426543.35,8.23554221244,83.02,1,0,254,0,100,1063
1609426543.47,8.09454921608,83.02,1,0,254,0,100,1063
1609426543.54,14.3897296203,83.02,1,0,254,0,100,1063
1609426543.6,15.3929015755,83.02,1,0,254,0,100,1063
1609426543.74,7.49417787109,83.02,1,0,254,0,100,1063
1609426543.88,7.17885591639,83.02,1,0,254,0,100,1063
1609426543.94,15.8010284616,83.02,1,0,254,0,100,1063
1609426544.06,8.23953827355,83.02,1,0,254,0,100,1063
1609426544.18,8.32140433856,83.02,1,0,254,0,100,1063
1609426544.25,13.8197825371,83.02,1,0,254,0,100,1063
1609426544.32,15.8042435501,83.02,1,0,254,0,100,1063
1609426544.43,8.82816219573,83.02,1,0,254,0,100,1063
1609426544.55,8.47781153295,83.59,1,0,254,0,100,1063
1609426544.63,13.0592480735,83.59,1,0,254,0,100,1063
1609426545.69,15.060499754,47.14,1,0,254,0,100,1063
1609426545.77,12.7798754403,47.14,1,0,254,0,100,1063
1609426545.89,8.59196257011,47.14,1,0,254,0,100,1063
1609426545.96,13.4705685877,47.14,1,0,254,0,100,1063
1609426546.1,7.28262488866,77.93,1,0,254,0,100,1063
1609426546.17,15.107803692,77.93,1,0,254,0,100,1063
1609426546.26,10.4117842727,77.93,1,0,254,0,100,1063
1609426546.39,7.82992704545,81.1,1,0,254,0,100,1063
1609426546.47,13.0625017518,81.1,1,0,254,0,100,1063
1609426546.54,14.5256275281,81.1,1,0,254,0,100,1063
1609426546.66,8.01796934888,81.1,1,0,254,0,100,1063
1609426546.79,8.1114714659,81.1,1,0,254,0,100,1063
1609426546.86,14.34043237,81.1,1,0,254,0,100,1063
1609426546.92,14.9906860047,81.1,1,0,254,0,100,1063
1609426547.06,7.56875992493,81.1,1,0,254,0,100,1063
1609426547.19,7.36484970228,81.1,1,0,254,0,100,1063
1609426547.26,14.5887819911,81.1,1,0,254,0,100,1063
1609426547.37,9.08875083156,81.1,1,0,254,0,100,1063
1609426547.5,7.92605904618,82.06,1,0,254,0,100,1063
1609426547.58,12.0172022061,82.06,1,0,254,0,100,1063
1609426547.65,15.1105250833,82.06,1,0,254,0,100,1063
1609426547.77,8.11326017614,82.06,1,0,254,0,100,1063
1609426547.9,7.48227948588,82.06,1,0,254,0,100,1063
1609426547.97,15.0003898245,82.06,1,0,254,0,100,1063
1609426548.08,9.09206073941,82.06,1,0,254,0,100,1063
1609426548.22,6.96617150753,82.06,1,0,254,0,100,1063
1609426548.3,12.6661029643,82.06,1,0,254,0,100,1063
1609426548.37,15.2652814628,82.06,1,0,254,0,100,1063
