timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz]
2020/12/31 09:55:14.464, 0 %, 0 %, 9.71 W, 544 MHz
2020/12/31 09:55:15.469, 0 %, 0 %, 9.43 W, 544 MHz
2020/12/31 09:55:16.473, 0 %, 0 %, 9.43 W, 544 MHz
2020/12/31 09:55:17.476, 0 %, 0 %, 9.62 W, 544 MHz
2020/12/31 09:55:18.480, 4 %, 0 %, 49.74 W, 1303 MHz
2020/12/31 09:55:19.483, 0 %, 0 %, 46.76 W, 1063 MHz
2020/12/31 09:55:20.489, 0 %, 0 %, 46.76 W, 1063 MHz
2020/12/31 09:55:21.492, 0 %, 0 %, 46.76 W, 1063 MHz
2020/12/31 09:55:22.494, 0 %, 0 %, 46.76 W, 1063 MHz
2020/12/31 09:55:23.497, 0 %, 0 %, 46.85 W, 1063 MHz
2020/12/31 09:55:24.500, 0 %, 0 %, 46.76 W, 1063 MHz
2020/12/31 09:55:25.502, 0 %, 0 %, 46.85 W, 1063 MHz
2020/12/31 09:55:26.505, 0 %, 0 %, 46.76 W, 1063 MHz
2020/12/31 09:55:27.508, 0 %, 0 %, 46.76 W, 1063 MHz
2020/12/31 09:55:28.510, 1 %, 0 %, 46.66 W, 1063 MHz
2020/12/31 09:55:29.513, 9 %, 0 %, 46.66 W, 1063 MHz
2020/12/31 09:55:30.516, 2 %, 0 %, 46.66 W, 1063 MHz
2020/12/31 09:55:31.519, 2 %, 0 %, 46.66 W, 1063 MHz
2020/12/31 09:55:32.521, 70 %, 43 %, 47.05 W, 1063 MHz
2020/12/31 09:55:33.524, 37 %, 12 %, 83.97 W, 1063 MHz
2020/12/31 09:55:34.527, 32 %, 10 %, 63.78 W, 1063 MHz
2020/12/31 09:55:35.529, 43 %, 14 %, 77.40 W, 1063 MHz
2020/12/31 09:55:36.532, 52 %, 17 %, 47.91 W, 1063 MHz
2020/12/31 09:55:37.535, 60 %, 20 %, 82.73 W, 1063 MHz
2020/12/31 09:55:38.538, 33 %, 10 %, 49.26 W, 1063 MHz
2020/12/31 09:55:39.541, 29 %, 9 %, 62.53 W, 1063 MHz
2020/12/31 09:55:40.543, 32 %, 10 %, 47.43 W, 1063 MHz
2020/12/31 09:55:41.546, 43 %, 14 %, 79.18 W, 1063 MHz
2020/12/31 09:55:42.549, 40 %, 13 %, 50.60 W, 1063 MHz
2020/12/31 09:55:43.552, 30 %, 10 %, 57.96 W, 1063 MHz
2020/12/31 09:55:44.555, 48 %, 16 %, 47.81 W, 1063 MHz
2020/12/31 09:55:45.558, 0 %, 0 %, 47.05 W, 1063 MHz
2020/12/31 09:55:46.561, 31 %, 11 %, 52.20 W, 1063 MHz
2020/12/31 09:55:47.564, 49 %, 16 %, 82.34 W, 1063 MHz
2020/12/31 09:55:48.566, 49 %, 16 %, 60.08 W, 1063 MHz
2020/12/31 09:55:49.569, 31 %, 11 %, 47.91 W, 1063 MHz
