time stamp, Througput (image/sec), power, batch size, minBS, maxBS, BestBS, power cap, DVFS
1609408997.58,0.128678582389,89.33,1,0,254,0,150,1063
1609409000.46,44.5021721784,134.64,128,0,254,127,150,1063
1609409002.1,78.3201256574,134.64,128,0,254,127,150,1063
1609409003.41,97.4865328196,120.47,128,0,254,127,150,1063
1609409004.83,90.5612660169,121.75,128,0,254,127,150,1063
1609409006.19,94.132803351,121.75,128,0,254,127,150,1063
1609409010.1,49.1699855788,128.62,192,127,254,191,150,1063
1609409012.24,89.4650258172,120.08,192,127,254,191,150,1063
1609409014.29,93.9778306032,125.66,192,127,254,191,150,1063
1609409019.25,45.1934084447,135.57,224,191,254,223,150,1063
1609409021.84,86.586911307,120.69,224,191,254,223,150,1063
1609409024.2,95.2196691326,125.06,224,191,254,223,150,1063
1609409029.3,47.0606526312,127.45,240,223,254,239,150,1063
1609409034.39,48.754787631,136.94,248,239,254,247,150,1063
1609409037.19,88.6120915655,123.25,248,239,254,247,150,1063
1609409039.93,90.5801424534,127.3,248,239,254,247,150,1063
1609409045.21,47.7821775822,138.09,252,247,254,251,150,1063
1609409048.01,90.1839471124,126.82,252,247,254,251,150,1063
1609409050.84,89.0766318972,127.74,252,247,254,251,150,1063
1609409053.68,88.9435066121,129.3,252,247,254,251,150,1063
1609409056.62,85.6777999928,129.3,252,247,254,251,150,1063
1609409059.51,87.3544394897,127.58,252,247,254,251,150,1063
1609409062.23,92.7344070471,127.84,252,247,254,251,150,1063
1609409064.87,95.5761161304,124.43,252,247,254,251,150,1063
1609409067.48,96.5945760649,127.01,252,247,254,251,150,1063
1609409072.64,49.2640639264,138.18,254,251,254,253,150,1063
1609409075.42,91.4890034904,127.97,254,251,254,253,150,1063
1609409078.23,90.3299329101,127.97,254,251,254,253,150,1063
1609409080.82,98.1198020424,128.16,254,251,254,253,150,1063
1609409083.52,94.4577128455,128.34,254,251,254,253,150,1063
1609409086.32,90.6597249164,125.1,254,251,254,253,150,1063
1609409089.18,88.905443315,127.76,254,251,254,253,110,1063
1609409094.39,48.5479191594,137.04,253,251,253,252,110,1063
1609409097.2,89.9225064939,126.79,252,251,252,251,110,1063
1609409100.0,90.045184943,126.79,252,251,252,251,110,1063
1609409102.85,44.2259335499,120.94,126,0,251,125,110,1063
1609409104.39,82.1341328715,122.43,126,0,251,125,110,1063
1609409106.15,35.6416716551,115.85,63,0,125,62,110,1063
1609409106.84,91.7098947965,118.46,63,0,125,62,110,1063
1609409107.57,86.5856841956,119.8,63,0,125,62,110,1063
1609409108.61,30.6637944289,110.2,32,0,62,31,110,1063
1609409109.01,81.9831486411,110.2,32,0,62,31,110,1063
1609409109.38,85.6505345432,110.2,32,0,62,31,110,1063
1609409109.89,62.5314085646,110.2,32,0,62,31,110,1063
1609409110.31,77.0340018297,110.2,32,0,62,31,110,1063
1609409110.65,92.4933364666,110.2,32,0,62,31,110,1063
1609409111.4,21.5071074646,93.88,16,0,31,15,110,1063
1609409111.64,67.4761366116,93.88,16,0,31,15,110,1063
1609409111.88,66.095813467,99.19,16,0,31,15,110,1063
1609409112.1,73.2329712181,99.19,16,0,31,15,110,1063
1609409112.37,58.9338543885,99.19,16,0,31,15,110,1063
1609409112.6,68.6615769,104.56,16,0,31,15,110,1063
1609409112.84,67.5250886464,104.56,16,0,31,15,110,1063
1609409113.07,69.7511056325,104.56,16,0,31,15,110,1063
1609409113.31,65.1166209811,108.86,16,0,31,15,110,1063
1609409113.48,97.4866921367,108.86,16,0,31,15,110,1063
1609409113.79,52.0068134651,108.86,16,0,31,15,110,1063
1609409114.05,60.3045236797,111.44,16,0,31,15,110,1063
1609409114.29,68.8356051553,111.44,16,0,31,15,110,1063
1609409114.52,69.794340853,111.44,16,0,31,15,110,1063
1609409114.78,59.8705717464,111.44,16,0,31,15,110,1063
1609409115.02,67.6398367182,111.44,16,0,31,15,110,1063
1609409115.26,66.0120734005,111.44,16,0,31,15,110,1063
1609409115.53,60.3620742382,115.86,16,0,31,15,110,1063
1609409115.77,66.7314310261,115.86,16,0,31,15,110,1063
1609409116.01,65.9502500079,115.86,16,0,31,15,110,1063
1609409116.28,59.798977225,115.86,16,0,31,15,110,1063
1609409116.5,72.1257121608,115.86,16,0,31,15,110,1063
1609409116.74,66.3168419565,115.86,16,0,31,15,110,1063
1609409117.01,60.4947328758,115.86,16,0,31,15,110,1063
1609409117.54,14.9499774332,87.23,8,0,15,7,110,1063
1609409117.76,37.5699873925,87.23,8,0,15,7,110,1063
1609409117.9,56.6007148797,87.23,8,0,15,7,110,1063
1609409118.12,36.3461035191,105.24,8,0,15,7,110,1063
1609409118.23,71.078754602,105.24,8,0,15,7,110,1063
1609409118.4,48.1064366656,105.24,8,0,15,7,110,1063
1609409118.56,47.8912534005,105.24,8,0,15,7,110,1063
1609409118.7,58.2284440048,105.24,8,0,15,7,110,1063
1609409118.84,57.0942960888,105.24,8,0,15,7,110,1063
1609409118.95,73.5415427438,105.24,8,0,15,7,110,1063
1609409119.1,52.5910928255,105.24,8,0,15,7,110,1063
1609409119.29,43.283698455,105.24,8,0,15,7,110,1063
1609409119.39,80.6932498371,105.24,8,0,15,7,110,1063
1609409119.61,35.7272185216,105.24,8,0,15,7,110,1063
1609409119.71,78.9491897895,105.24,8,0,15,7,110,1063
1609409119.85,58.8136668063,105.24,8,0,15,7,110,1063
1609409120.04,42.5778761331,105.24,8,0,15,7,110,1063
1609409121.14,77.8694935786,47.62,8,0,15,7,110,1063
1609409121.25,75.1244976503,47.62,8,0,15,7,110,1063
1609409121.4,51.7417663586,47.62,8,0,15,7,110,1063
1609409121.6,40.3256294113,102.7,8,0,15,7,110,1063
1609409121.84,34.3483248318,105.66,8,0,15,7,110,1063
1609409121.94,77.0512489609,105.66,8,0,15,7,110,1063
1609409122.09,52.1495554274,105.66,8,0,15,7,110,1063
1609409122.26,47.1926302021,105.66,8,0,15,7,110,1063
1609409122.37,75.0779364909,105.66,8,0,15,7,110,1063
1609409122.61,33.2834052312,105.66,8,0,15,7,110,1063
1609409122.71,80.4132334791,105.66,8,0,15,7,110,1063
1609409122.88,47.1100727828,105.66,8,0,15,7,110,1063
1609409123.06,44.4718777377,105.66,8,0,15,7,110,1063
1609409124.21,54.928834402,47.62,8,0,15,7,110,1063
1609409124.38,47.8605822102,47.62,8,0,15,7,110,1063
1609409124.55,46.6551520368,99.92,8,0,15,7,110,1063
1609409124.74,40.4659811071,99.92,8,0,15,7,110,1063
1609409124.92,44.5535434974,99.92,8,0,15,7,110,1063
1609409125.07,56.4772479773,99.92,8,0,15,7,110,1063
1609409125.22,51.4995549062,99.92,8,0,15,7,110,1063
1609409125.32,77.8913657625,99.92,8,0,15,7,110,1063
1609409125.5,46.2858695697,99.92,8,0,15,7,110,1063
1609409125.7,40.5611715855,99.92,8,0,15,7,110,1063
1609409125.82,63.0746118275,99.92,8,0,15,7,110,1063
1609409125.96,56.8658465283,99.92,8,0,15,7,110,1063
1609409126.06,80.2100532591,99.92,8,0,15,7,110,1063
1609409127.22,52.9492748249,49.52,8,0,15,7,110,1063
1609409127.46,32.9725651429,49.52,8,0,15,7,110,1063
1609409127.55,85.916061749,49.52,8,0,15,7,110,1063
1609409127.78,35.3846312839,105.37,8,0,15,7,110,1063
1609409127.89,70.9199608565,105.37,8,0,15,7,110,1063
1609409128.04,54.0968423225,105.37,8,0,15,7,110,1063
1609409128.21,45.8541715635,105.37,8,0,15,7,110,1063
1609409128.39,44.8855696236,105.37,8,0,15,7,110,1063
1609409128.53,57.1334737502,105.37,8,0,15,7,110,1063
1609409128.65,70.7257804102,105.37,8,0,15,7,110,1063
1609409128.78,61.7388213215,105.37,8,0,15,7,110,1063
1609409128.95,44.8375265248,105.37,8,0,15,7,110,1063
1609409129.06,75.5851318567,105.37,8,0,15,7,110,1063
1609409129.21,52.0004463234,105.37,8,0,15,7,110,1063
1609409129.38,47.1873208736,85.65,8,0,15,7,110,1063
1609409129.52,59.2750706614,85.65,8,0,15,7,110,1063
1609409129.66,57.752199199,91.96,8,0,15,7,110,1063
1609409129.77,69.4812311566,91.96,8,0,15,7,110,1063
1609409129.93,50.9817158589,91.96,8,0,15,7,110,1063
1609409130.11,45.0166653698,91.96,8,0,15,7,110,1063
1609409130.28,47.7825448,91.96,8,0,15,7,110,1063
1609409130.42,57.0154235661,93.5,8,0,15,7,110,1063
1609409130.52,81.9496106992,93.5,8,0,15,7,110,1063
1609409130.66,56.0341604586,93.5,8,0,15,7,110,1063
1609409130.82,50.2456274857,93.5,8,0,15,7,110,1063
1609409130.95,61.3280792499,93.5,8,0,15,7,110,1063
1609409131.17,35.9733135783,101.97,8,0,15,7,110,1063
1609409131.28,76.4388353673,101.97,8,0,15,7,110,1063
1609409131.43,51.2443352327,101.97,8,0,15,7,110,1063
1609409131.6,49.0497332222,101.97,8,0,15,7,110,1063
1609409131.75,52.5106838476,101.97,8,0,15,7,110,1063
1609409131.91,48.809073361,101.97,8,0,15,7,110,1063
1609409132.01,79.2692412183,101.97,8,0,15,7,110,1063
1609409132.24,34.997775249,106.8,8,0,15,7,110,1063
1609409133.35,72.9574228449,47.43,8,0,15,7,110,1063
1609409133.47,68.8082911755,47.43,8,0,15,7,110,1063
1609409133.62,52.5578953304,47.43,8,0,15,7,110,1063
1609409133.8,45.0681197593,96.57,8,0,15,7,110,1063
1609409133.93,60.4403583793,96.57,8,0,15,7,110,1063
1609409134.11,44.6924645538,96.57,8,0,15,7,110,1063
1609409134.21,79.7496642876,96.57,8,0,15,7,110,1063
1609409134.43,37.6467040204,103.79,8,0,15,7,110,1063
1609409134.54,72.9095476077,103.79,8,0,15,7,110,1063
1609409134.68,56.9099228977,103.79,8,0,15,7,110,1063
1609409134.86,44.0428951327,103.79,8,0,15,7,110,1063
1609409134.96,77.7084523123,103.79,8,0,15,7,110,1063
1609409135.17,38.7720665382,104.9,8,0,15,7,110,1063
1609409135.28,72.5170397937,104.9,8,0,15,7,110,1063
1609409136.48,55.0672075833,51.18,8,0,15,7,110,1063
